a	A|吖|呵|啊|嗄|腌|锕|阿	A|吖|呵|啊|嗄|腌|錒|阿
chushengzhidubupahu	初生之犊不怕虎	初生之犢不怕虎
chushengzhidubuweihu	初生之犊不畏虎	初生之犢不畏虎
chushenruhua	出神入化	出神入化
chushenyinyue	出神音乐	出神音樂
chushi	出世|出事|出仕|出使|出师|出示|初始|初识|初试|厨师|处世|处事	出世|出事|出仕|出使|出師|出示|初始|初試|初識|廚師|處世|處事
chushihua	初始化	初始化
chushiji	除湿机	除濕機
chushiqi	除湿器	除濕器
chushishenshou	初试身手	初試身手
chushiweijieshenxiansi	出师未捷身先死	出師未捷身先死
chushiyuanze	处世原则|处事原则	處世原則|處事原則
chushizhang	厨师长	廚師長
chushizhidao	处世之道	處世之道
chushou	出售|出手|触手	出售|出手|觸手
chushoukede	触手可得	觸手可得
chushoukeji	触手可及	觸手可及
chushu	出书|处暑|除数	出書|處暑|除數
chushuang	除霜	除霜
chushui	储水|出水	儲水|出水
chushuifurong	出水芙蓉	出水芙蓉
chushuiguan	储水管	儲水管
chushuikou	出水口	出水口
chushuixiang	储水箱	儲水箱
chusi	厨司|处死	廚司|處死
chusui	除祟	除祟
chusuiliang	褚遂良	褚遂良
chusuo	处所	處所
chutai	出台	出臺
chutan	初探	初探
chutangsijie	初唐四杰	初唐四傑
chutangyanque	处堂燕雀	處堂燕雀
chutanr	出摊儿	出攤兒
chutao	出逃	出逃
chuti	出题|怵惕	出題|怵惕
chuting	出庭	出庭
chutou	出头|憷头|锄头	出頭|憷頭|鋤頭
chutoudechuanzixianlan	出头的椽子先烂	出頭的椽子先爛
chutouniao	出头鸟	出頭鳥
chutu	出土	出土
chutui	黜退	黜退
chutuo	出脱	出脫
chuwai	出外|除外	出外|除外
chuwan	触腕	觸腕
chuwang	出亡	出亡
chuwei	厨卫	廚衛
chuwen	初文	初文
chuwenti	出问题	出問題
chuwu	储物	儲物
chuwugui	储物柜	儲物櫃
chuxi	出席|出息|出戏|除夕|除息	出席|出息|出戲|除夕|除息
chuxia	初夏	初夏
chuxian	出现|出线|出险|触线	出現|出線|出險|觸線
chuxiao	初小	初小
chuxie	除邪	除邪
chuxin	出新|初心	出新|初心
chuxing	出行|处刑|雏型|雏形	出行|處刑|雛型|雛形
chuxingchanpin	雏形产品	雛形產品
chuxingtu	雏形土	雛形土
chuxinjilv	处心积虑	處心積慮
chuxiong	楚雄	楚雄
chuxiongshi	楚雄市	楚雄市
chuxiongyizuzizhizhou	楚雄彝族自治州	楚雄彝族自治州
chuxiongzhou	楚雄州	楚雄州
chuxizhe	出席者	出席者
chuxu	储蓄|触须	儲蓄|觸鬚
chuxuan	初选	初選
chuxue	出血	出血
chuxuere	出血热	出血熱
chuxuexing	出血性	出血性
chuxuexingdenggere	出血性登革热	出血性登革熱
chuxuezhe	初学者	初學者
chuxuka	储蓄卡	儲蓄卡
chuxulv	储蓄率	儲蓄率
chuxun	出巡	出巡
chuxuzhanghu	储蓄帐户	儲蓄帳戶
chuyan	出演|出言|雏燕	出演|出言|雛燕
chuyanbuxun	出言不逊	出言不遜
chuyang	出洋	出洋
chuyangxiang	出洋相	出洋相
chuye	初叶|初夜	初夜|初葉
chuyi	刍议|初一|厨艺|除以	初一|廚藝|芻議|除以
chuying	出迎	出迎
chuyou	出游	出遊
chuyu	出于|出狱|厨余|处于	出於|出獄|廚餘|處於
chuyuan	出院	出院
chuyuanmen	出远门	出遠門
chuyue	出月	出月
chuyuezi	出月子	出月子
chuyunierburan	出淤泥而不染	出淤泥而不染
chuzai	处在	處在
chuzhan	出战|出站|初战	出戰|出站|初戰
chuzhang	处长	處長
chuzhanran	除沾染	除沾染
chuzhao	出招	出招
chuzhen	出诊|触诊	出診|觸診
chuzheng	出征	出征
chuzhi	储值|出汁|处治|处置|楮纸|触肢	儲值|出汁|楮紙|處治|處置|觸肢
chuzhika	储值卡	儲值卡
chuzhitairan	处之泰然	處之泰然
chuzhong	出众|出钟|初中|初衷	出眾|出鐘|初中|初衷
chuzhongsheng	初中生	初中生
chuzhou	滁州	滁州
chuzhoushi	滁州市	滁州市
chuzhuangwang	楚庄王	楚莊王
chuzhuyi	出主意	出主意
chuzi	出自|出资|厨子|处子|橱子|除子	出自|出資|廚子|櫥子|處子|除子
chuzifeifu	出自肺腑	出自肺腑
chuzixiu	处子秀	處子秀
chuzou	出走	出走
chuzu	出租	出租
chuzuche	出租车	出租車
chuzui	出罪|除罪	出罪|除罪
chuzuihua	除罪化	除罪化
chuzuqiche	出租汽车	出租汽車
chuzusiji	出租司机	出租司機
chuzuwu	出租屋	出租屋
ci	伺|佌|佽|偨|兹|刺|刾|呲|差|慈|朿|次|此|泚|玼|瓷|疵|磁|祠|糍|絘|茈|茨|莿|蛓|词|赐|跐|辞|雌|骴|鹚|𪉈	䛐|伺|佌|佽|偨|刺|刾|呲|差|慈|朿|次|此|泚|玼|瓷|疵|磁|祠|糍|絘|茈|茨|茲|莿|蛓|詞|賜|跐|辤|辭|雌|餈|骴|鴜|鶿|鷀
ciai	慈爱|慈蔼	慈愛|慈藹
ciantaihou	慈安太后	慈安太后
ciba	糍粑	糍粑
cibai	刺柏	刺柏
cibao	刺胞|磁暴	刺胞|磁暴
cibaodongwu	刺胞动物	刺胞動物
cibei	慈悲	慈悲
cibeiweiben	慈悲为本	慈悲為本
cibi	刺鼻	刺鼻
cibie	辞别	辭別
cibu	絘布	絘布
cibudayi	词不达意	詞不達意
ciceng	磁层	磁層
cichang	磁场	磁場
cicheng	茨城|辞呈	茨城|辭呈
cichengxian	茨城县	茨城縣
cichonglian	磁重联	磁重聯
cichu	此处	此處
cichuan	刺穿	刺穿
cichuo	刺戳	刺戳
cici	此次	此次
cicibuxiu	刺刺不休	刺刺不休
cidai	次贷|磁带	次貸|磁帶
cidaiji	磁带机	磁帶機
cidaiweiji	次贷危机	次貸危機
cidalu	次大陆	次大陸
cidanjizi	磁单极子	磁單極子
cidao	刺刀|此道	刺刀|此道
cideng	次等	次等
cidi	次第|此地	次第|此地
cidian	词典|辞典	詞典|辭典
cidianxue	词典学	詞典學
cidiao	辞掉	辭掉
cidie	磁碟	磁碟
cidieji	磁碟机	磁碟機
ciding	磁钉	磁釘
cidiwuyinsanbailiang	此地无银三百两	此地無銀三百兩
cidongshi	磁动势	磁動勢
cienzong	慈恩宗	慈恩宗
cier	刺耳	刺耳
cifa	词法	詞法
cifang	次方	次方
cifangyan	次方言	次方言
cifu	磁浮|赐福	磁浮|賜福
cifubiqi	此伏彼起	此伏彼起
cifuxingdong	慈福行动	慈福行動
cigan	词干	詞幹
cigang	茨冈	茨岡
cigangsi	刺钢丝	刺鋼絲
ciganxian	磁感线	磁感線
ciganying	磁感应	磁感應
ciganyingqiangdu	磁感应强度	磁感應強度
cige	辞格	辭格
cigei	赐给	賜給
cigen	词根	詞根
cigenyu	词根语	詞根語
cigong	辞工	辭工
cigongzhen	磁共振	磁共振
cigongzhenchengxiang	磁共振成像	磁共振成像
cigu	刺骨|慈姑|茨菰|赐顾	刺骨|慈姑|茨菰|賜顧
ciguan	次官|辞官	次官|辭官
ciguipao	磁轨炮	磁軌砲
cihai	辞海	辭海
cihan	词翰	詞翰
cihe	慈和	慈和
cihou	伺候|次后|此后	伺候|次後|此後
cihua	刺花|磁化|词话	刺花|磁化|詞話
cihuai	刺槐	刺槐
cihuang	雌黄	雌黃
cihuawen	刺花纹	刺花紋
cihuazenjiang	此话怎讲	此話怎講
cihui	词汇	詞匯|詞彙
cihuixue	词汇学	詞彙學
cihuo	次货	次貨
ciji	刺戟|刺激|慈济|次级|此际|磁极	刺戟|刺激|慈濟|次級|此際|磁極
cijian	此间|赐鉴	此間|賜鑒
cijiangdao	慈江道	慈江道
cijiao	赐教	賜教
cijidaikuan	次级贷款	次級貸款
cijidiyadaikuan	次级抵押贷款	次級抵押貸款
cijifangwuxindaiweiji	次级房屋信贷危机	次級房屋信貸危機
cijiji	刺激剂	刺激劑
cijing	次经|雌竞	次經|雌競
cijisu	雌激素	雌激素
cijiwu	刺激物	刺激物
cijixing	刺激性	刺激性
ciju	磁矩|词句	磁矩|詞句
cijue	赐爵	賜爵
cika	磁卡	磁卡
cike	刺客|此刻	刺客|此刻
cikongguan	磁控管	磁控管
ciku	词库	詞庫
cilei	此类|词类	此類|詞類
cileng	刺棱	刺棱
cili	刺梨|慈利|磁力	刺梨|慈利|磁力
cilian	磁链	磁鏈
cililianjie	磁力链接	磁力鏈接
ciling	词令|辞令	詞令|辭令
cilisuo	磁力锁	磁力鎖
cilixian	慈利县|磁力线	慈利縣|磁力線
cilu	雌鹿	雌鹿
cilubutong	此路不通	此路不通
cilvsuan	次氯酸	次氯酸
cimeishanmu	慈眉善目	慈眉善目
cimeishanyan	慈眉善眼	慈眉善眼
cimiao	祠庙	祠廟
cimu	刺目|慈母|祠墓|词目	刺目|慈母|祠墓|詞目
cinv	次女	次女
cipai	词牌	詞牌
cipan	磁盘	磁盤
cipanqudongqi	磁盘驱动器	磁盤驅動器
cipian	磁片	磁片
cipin	次品|次贫|词频	次品|次貧|詞頻
ciping	瓷瓶	瓷瓶
cipo	刺破	刺破
ciqi	瓷器|磁器	瓷器|磁器
ciqian	此前	此前
ciqibifu	此起彼伏	此起彼伏
ciqibiluo	此起彼落	此起彼落
ciqing	刺青	刺青
ciqingu	刺芹菇	刺芹菇
ciqiong	词穷	詞窮
ciqiquan	磁气圈	磁氣圈
ciqu	辞去	辭去
cir	刺儿	刺兒
ciren	词人|辞任	詞人|辭任
cirenmoke	词人墨客	詞人墨客
cirhua	刺儿话	刺兒話
ciri	次日	次日
cirli	刺儿李	刺兒李
cirtou	刺儿头	刺兒頭
cirui	雌蕊	雌蕊
cisanchun	雌三醇	雌三醇
cisha	刺杀	刺殺
cishan	慈善	慈善
cishanchoujiang	慈善抽奖	慈善抽獎
cishang	刺伤	刺傷
cishanjia	慈善家	慈善家
cishanjigou	慈善机构	慈善機構
cishanzuzhi	慈善组织	慈善組織
cishen	刺身	刺身
cisheng	次生	次生
cishengbo	次声波	次聲波
cishenglin	次生林	次生林
cishengzaihai	次生灾害	次生災害
cishi	刺史|慈石|此事|此时|瓷实|磁石|辞世|雌狮	刺史|慈石|此事|此時|瓷實|磁石|辭世|雌獅
cishicidi	此时此地	此時此地
cishicike	此时此刻	此時此刻
cishidai	次世代	次世代
cishitida	此事体大	此事體大
cishu	次数|辞书	次數|辭書
cishuxue	辞书学	辭書學
cisi	刺死|赐死	刺死|賜死
cisibao	刺丝胞	刺絲胞
cisibaodongwu	刺丝胞动物	刺絲胞動物
cisinang	刺丝囊	刺絲囊
cisong	词讼	詞訟
cisongfei	词讼费	詞訟費
cisu	词素	詞素
citan	刺探	刺探
citang	祠堂	祠堂
citi	磁体|雌体	磁體|雌體
citiao	磁条|词条	磁條|詞條
citie	磁贴|磁铁	磁貼|磁鐵
citiekuang	磁铁矿	磁鐵礦
citong	刺桐|刺痛|莿桐	刺桐|刺痛|莿桐
citongliang	磁通量	磁通量
citongmen	磁通门	磁通門
citongxiang	莿桐乡	莿桐鄉
citou	刺头|磁头|词头	刺頭|磁頭|詞頭
citui	辞退	辭退
ciwai	此外	此外
ciwan	瓷碗	瓷碗
ciwanjilayi	茨万吉拉伊	茨萬吉拉伊
ciwawa	瓷娃娃	瓷娃娃
ciwei	刺猬|词位|词尾	刺蝟|詞位|詞尾
ciwenhua	次文化	次文化
ciwujia	刺五加	刺五加
cixi	慈溪|慈禧|磁吸	慈溪|慈禧|磁吸
cixian	刺苋|磁县	刺莧|磁縣
cixiang	慈祥|词项	慈祥|詞項
cixiangluoji	词项逻辑	詞項邏輯
cixiaobizhang	此消彼长	此消彼長
cixie	辞谢	辭謝
cixing	此行|磁性|词形|词性|赐姓|辞行|雌性	此行|磁性|詞形|詞性|賜姓|辭行|雌性
cixingbiaozhu	词性标注	詞性標註
cixingjiekou	雌性接口	雌性接口
cixingjisu	雌性激素	雌性激素
cixinwali	茨欣瓦利	茨欣瓦利
cixiong	雌雄	雌雄
cixiongtongti	雌雄同体	雌雄同體
cixiongtongtiren	雌雄同体人	雌雄同體人
cixiongtongtixing	雌雄同体性	雌雄同體性
cixiongyise	雌雄异色	雌雄異色
cixishi	慈溪市	慈溪市
cixitaihou	慈禧太后	慈禧太后
cixiu	刺绣	刺繡
cixiupin	刺绣品	刺繡品
cixiusuan	次溴酸	次溴酸
cixixiaoying	磁吸效应	磁吸效應
cixu	次序|词序	次序|詞序
cixuanfu	磁悬浮	磁懸浮
ciyaliusuanna	次亚硫酸钠	次亞硫酸鈉
ciyan	刺眼|慈颜|词眼	刺眼|慈顏|詞眼
ciyanbuxu	此言不虚	此言不虛
ciyanfeixu	此言非虚	此言非虛
ciyao	次要	次要
ciyi	词义|词意	詞意|詞義
ciyichang	磁异常	磁異常
ciyige	次一个	次一個
ciyou	瓷釉	瓷釉
ciyu	次于|词语|赐与|赐予	次於|詞語|賜予|賜與
ciyuan	次元|词元|词源	次元|詞元|詞源
ciyuezhiming	词约指明	詞約指明
ciyun	次韵	次韻
cizao	词藻|辞灶|辞藻	詞藻|辭灶|辭藻
cizhang	次长|辞章	次長|辭章
cizhaosi	慈照寺	慈照寺
cizhengzhuang	次正装	次正裝
cizhi	次之|此致|辞职	次之|此致|辭職
cizhijingli	此致敬礼	此致敬禮
cizhong	刺中	刺中
cizhongliangji	次重量级	次重量級
cizhuan	瓷砖	瓷磚
cizhui	词缀	詞綴
cizi	刺字|次子	刺字|次子
cizu	磁阻|词族|词组	磁阻|詞族|詞組
cjb	CJB	CJB
cluo	C罗	C羅
cong	丛|从|匆|囱|従|悰|枞|淙|漎|潀|熜|琮|璁|聡|聦|聪|苁|葱|賨|鍐|鏦|騘|骢|𪻐	从|匆|叢|囪|従|從|怱|悤|悰|樅|淙|漎|潀|熜|琮|瑽|璁|聡|聦|聰|蓯|蔥|賨|鍐|鏦|騘|驄
congbai	葱白	蔥白
congbu	从不	從不
congchangjiyi	从长计议	從長計議
congci	从此	從此
congciwanghou	从此往后	從此往後
congcong	匆匆|葱葱	匆匆|蔥蔥
congcongrongrong	从从容容	從從容容
congcu	匆促|匆卒|匆猝	匆促|匆卒|匆猝
congcui	葱翠	蔥翠
congdong	从动	從動
conger	从而	從而
congfan	从犯	從犯
congfu	从父	從父
conghe	从何	從何
conghua	从化|葱花	從化|蔥花
conghuan	从缓	從緩
conghuang	葱黄	蔥黃
conghuaqu	从化区	從化區
conghui	聪慧	聰慧
congji	丛集	叢集
congjian	从俭|从简	從儉|從簡
congjiang	从江	從江
congjiangxian	从江县	從江縣
congjianruliu	从谏如流	從諫如流
congjiao	从教	從教
congjingjiuren	从井救人	從井救人
congjinyihou	从今以后	從今以後
congju	从句|匆遽	匆遽|從句
congjun	从军	從軍
congkuan	从宽	從寬
conglai	从来	從來
conglaibu	从来不	從來不
conglaimei	从来没	從來沒
conglaimeiyou	从来没有	從來沒有
congli	从吏	從吏
congliang	从良	從良
conglidaowai	从里到外	從裡到外
conglin	丛林	叢林
conglinfaze	丛林法则	叢林法則
congling	葱岭	蔥嶺
conglingkaishi	从零开始	從零開始
conglong	葱茏	蔥蘢
conglv	葱绿	蔥綠
conglve	从略	從略
congmang	匆忙	匆忙
congmei	从没	從沒
congmin	聪敏	聰敏
congming	从命|聪明	從命|聰明
congmingcaizhi	聪明才智	聰明才智
congmingfanbeicongmingwu	聪明反被聪明误	聰明反被聰明誤
congmingguotou	聪明过头	聰明過頭
congmingjueding	聪明绝顶	聰明絕頂
congminglingli	聪明伶俐	聰明伶俐
congmingyishihutuyishi	聪明一世，糊涂一时	聰明一世，糊塗一時
congmingyishimengdongyishi	聪明一世，懵懂一时	聰明一世，懵懂一時
congmu	从母	從母
congnancongyan	从难从严	從難從嚴
congqian	从前	從前
congqing	从轻	從輕
congrong	从容|从戎|𪻐瑢	從容|從戎|瑽瑢
congrongbupo	从容不迫	從容不迫
congshanrudengcongerubeng	从善如登，从恶如崩	從善如登，從惡如崩
congshanruliu	从善如流	從善如流
congsheng	丛生	叢生
congshi	从事	從事
congshizhaolai	从实招来	從實招來
congshu	丛书|从属|枞树|葱属	叢書|從屬|樅樹|蔥屬
congsu	从速	從速
congtai	丛台	叢臺
congtaiqu	丛台区	叢臺區
congtan	丛谈	叢談
congtianerjiang	从天而降	從天而降
congtou	从头|葱头	從頭|蔥頭
congtoudaojiao	从头到脚	從頭到腳
congtoudaowei	从头到尾	從頭到尾
congwei	从未	從未
congxian	从先	從先
congxiao	从小	從小
congxinsuoyu	从心所欲	從心所欲
congxiong	从兄	從兄
congyan	从严	從嚴
congyanchengchu	从严惩处	從嚴懲處
congye	从业	從業
congyerenyuan	从业人员	從業人員
congyezhe	从业者	從業者
congyi	从医|从艺	從藝|從醫
congyierzhong	从一而终	從一而終
congying	从影|聪颖	從影|聰穎
congyou	从优	從優
congyoubing	葱油饼	蔥油餅
congyu	葱郁	蔥鬱
congzaodaowan	从早到晚	從早到晚
congzhe	从者	從者
congzheng	从政	從政
congzhong	丛冢|从中|从众	叢冢|從中|從眾
congzhuabing	葱抓饼	蔥抓餅
congzi	从子	從子
cos	cos	cos
coser	coser	coser
cou	凑|腠|辏	湊|腠|輳
coucheng	凑成	湊成
coudan	凑单	湊單
coufenzi	凑份子	湊份子
coufu	凑付	湊付
couhe	凑合	湊合
coujin	凑近	湊近
couqi	凑齐	湊齊
couqian	凑钱	湊錢
couqiao	凑巧	湊巧
couqu	凑趣	湊趣
courenao	凑热闹	湊熱鬧
coushou	凑手	湊手
coushu	凑数	湊數
couzu	凑足	湊足
cp	CP	CP
cpan	C盘	C盤
cpzhi	CP值	CP值
cu	䠞|促|卒|徂|殂|猝|瘯|皻|簇|粗|蔟|踤|踧|蹙|蹴|酢|醋|麁|麄	䠞|促|卒|徂|殂|猝|瘯|皻|簇|粗|蔟|觕|踤|踧|蹙|蹴|蹵|酢|醋|麁|麄|麤
cuan	撺|攒|汆|爨|窜|窾|篡|蹿|鋑|镩	攛|攢|汆|爨|窾|竄|篡|簒|躥|鋑|鑹
cuanbeng	蹿蹦	躥蹦
cuancu	攒簇	攢簇
cuandang	篡党	篡黨
cuanduo	撺掇|篡夺	攛掇|篡奪
cuanfan	窜犯	竄犯
cuanfang	窜访	竄訪
cuanfangyueji	蹿房越脊	躥房越脊
cuangai	窜改|篡改	竄改|篡改
cuanhong	窜红|蹿红	竄紅|躥紅
cuanhuo	蹿货	躥貨
cuanji	攒集	攢集
cuanju	攒聚|窜踞	攢聚|竄踞
cuanjun	篡军	篡軍
cuanli	篡立	篡立
cuanni	篡逆	篡逆
cuanqie	篡窃	篡竊
cuanquan	篡权	篡權
cuanrao	窜扰	竄擾
cuansheng	窜升|蹿升	竄升|躥升
cuanshi	篡弑	篡弒
cuantao	窜逃	竄逃
cuanteng	蹿腾	躥騰
cuantiao	蹿跳	躥跳
cuanwei	篡位	篡位
cuanxi	窜稀|蹿稀	竄稀|躥稀
cuanzei	篡贼	篡賊
cuanzheng	篡政	篡政
cuanzi	镩子	鑹子
cubao	粗暴	粗暴
cuben	粗笨	粗笨
cubi	粗鄙	粗鄙
cubujifang	猝不及防	猝不及防
cucao	粗糙	粗糙
cuchadanfan	粗茶淡饭	粗茶淡飯
cucheng	促成	促成
cuda	粗大	粗大
cudong	促动	促動
cufa	猝发	猝發
cufan	粗饭	粗飯
cufang	粗放	粗放
cufei	粗榧	粗榧
cufen	粗分	粗分
cugu	粗估	粗估
cuguang	粗犷	粗獷
cuguanmian	粗管面	粗管麵
cuhaishengbo	醋海生波	醋海生波
cuhao	粗豪	粗豪
cuhua	粗话	粗話
cuhuangneizhijia	醋磺内酯钾	醋磺內酯鉀
cuhuo	粗活	粗活
cui	伜|倅|催|啐|崒|崔|悴|摧|榱|毳|淬|漼|焠|獕|璀|瘁|磪|竁|粹|綷|缞|翠|脆|膬|膵|萃|衰|趡	伜|倅|催|啐|崒|崔|悴|摧|榱|毳|淬|漼|焠|獕|璀|瘁|磪|竁|粹|綷|縗|翠|脃|脆|膬|膵|萃|衰|趡|顇
cuibi	催逼	催逼
cuibiao	催膘	催膘
cuicai	綷縩	綷縩
cuican	摧残|璀璨	摧殘|璀璨
cuicanduomu	璀璨夺目	璀璨奪目
cuichan	催产	催產
cuichansu	催产素	催產素
cuicu	催促	催促
cuicui	璀璀|脆脆	璀璀|脆脆
cuicuo	璀错	璀錯
cuifei	催肥	催肥
cuifeiji	催肥剂	催肥劑
cuigeng	催更	催更
cuigu	催谷|脆骨	催谷|脆骨
cuiguanyu	翠冠玉	翠冠玉
cuiguixia	崔圭夏	崔圭夏
cuigule	脆谷乐	脆穀樂
cuihao	崔颢	崔顥
cuihong	崔鸿	崔鴻
cuihua	催化	催化
cuihuaji	催化剂	催化劑
cuihuazuoyong	催化作用	催化作用
cuihui	摧毁	摧毀
cuihun	催婚	催婚
cuihuo	淬火	淬火
cuijian	崔健	崔健
cuijinjuan	翠金鹃	翠金鵑
cuilei	催泪	催淚
cuileidan	催泪弹	催淚彈
cuileidapian	催泪大片	催淚大片
cuileiji	催泪剂	催淚劑
cuileiwasi	催泪瓦斯	催淚瓦斯
cuiluan	翠峦	翠巒
cuiluanqu	翠峦区	翠巒區
cuilv	翠绿	翠綠
cuimian	催眠	催眠
cuimianqu	催眠曲	催眠曲
cuimianshu	催眠术	催眠術
cuimianyao	催眠药	催眠藥
cuimianzhuangtai	催眠状态	催眠狀態
cuiming	催命	催命
cuiminghui	崔明慧	崔明慧
cuinai	催奶	催奶
cuiniao	翠鸟	翠鳥
cuipi	脆皮	脆皮
cuipian	脆片	脆片
cuipingqu	翠屏区	翠屏區
cuiqi	崔琦	崔琦
cuiqing	催情	催情
cuiqingshe	翠青蛇	翠青蛇
cuiqu	萃取	萃取
cuiru	催乳	催乳
cuirujisu	催乳激素	催乳激素
cuiruo	脆弱	脆弱
cuisheng	催生	催生
cuishengpo	催生婆	催生婆
cuishengsu	催生素	催生素
cuishengzhe	催生者	催生者
cuishou	催收	催收
cuishu	催熟	催熟
cuishuang	脆爽	脆爽
cuitao	催讨	催討
cuitu	催吐	催吐
cuituji	催吐剂	催吐劑
cuiwei	崔嵬|崔巍	崔嵬|崔巍
cuiya	催芽	催芽
cuiying	崔萤	崔螢
cuiyongyuan	崔永元	崔永元
cuizhang	催帐|催账	催帳|催賬
cuizheng	催证	催證
cujian	粗剪	粗剪
cujiangcao	酢浆草	酢漿草
cujin	促进|醋劲	促進|醋勁
cujingshizhu	簇茎石竹	簇莖石竹
cujinr	醋劲儿	醋勁兒
cuju	蹴踘|蹴鞠	蹴踘|蹴鞠
cukou	粗口	粗口
culi	粗厉|粗粝|醋栗	粗厲|粗糲|醋栗
culiang	粗粮	粗糧
culie	粗劣	粗劣
culiezuopin	粗劣作品	粗劣作品
culou	粗陋	粗陋
culu	粗卤|粗鲁	粗魯|粗鹵
culubuwen	粗鲁不文	粗魯不文
culve	粗略	粗略
cumang	粗莽	粗莽
cumei	蹙眉	蹙眉
cun	刌|吋|壿|存|寸|忖|村|皴|蹲|邨	刌|吋|壿|存|寸|忖|村|皴|蹲|邨
cunbu	存簿	存簿
cunbubuli	寸步不离	寸步不離
cunbuburang	寸步不让	寸步不讓
cunbunanxing	寸步难行	寸步難行
cunbunanyi	寸步难移	寸步難移
cuncaobusheng	寸草不生	寸草不生
cunchechang	存车场	存車場
cunchechu	存车处	存車處
cunchu	存储	存儲
cunchuka	存储卡	存儲卡
cunchuqi	存储器	存儲器
cundai	存贷	存貸
cundaikuan	存贷款	存貸款
cundan	存单	存單
cundang	存档	存檔
cunduo	忖度	忖度
cunfang	存放	存放
cunfu	村夫|村妇	村夫|村婦
cungen	存根	存根
cungu	村姑	村姑
cungui	寸晷	寸晷
cunhu	存户	存戶
cunhuo	存活|存货	存活|存貨
cunhuolv	存活率	存活率
cunjinnanmaicunguangyin	寸金难买寸光阴	寸金難買寸光陰
cunkou	寸口	寸口
cunkoumai	寸口脉	寸口脈
cunkuan	存款	存款
cunkuandan	存款单	存款單
cunkuanren	存款人	存款人
cunkuanzheng	存款证	存款證
cunkuanzhunbeijin	存款准备金	存款准備金
cunkuanzhunbeijinlv	存款准备金率	存款準備金率
cunli	村里	村里
cunliang	存量|忖量	存量|忖量
cunlie	皴裂	皴裂
cunliu	存留	存留
cunluo	村落	村落
cunmai	寸脉	寸脈
cunmin	村民	村民
cunqian	存钱	存錢
cunqianguan	存钱罐	存錢罐
cunqu	存取	存取
cunru	存入	存入
cunshanfushi	村山富市	村山富市
cunshang	村上	村上
cunshangchunshu	村上春树	村上春樹
cunshanglong	村上隆	村上隆
cunshe	村舍	村舍
cunshi	存食	存食
cunshu	村塾	村塾
cunshuiwan	存水弯	存水彎
cunsi	忖思	忖思
cuntian	村田	村田
cuntou	寸头	寸頭
cuntucunjin	寸土寸金	寸土寸金
cuntuopingzheng	存托凭证	存託憑證
cunwang	存亡	存亡
cunwangyouguan	存亡攸关	存亡攸關
cunweihui	村委会	村委會
cunxin	存心	存心
cunxu	存续	存續
cunxue	村学	村學
cunyi	存疑	存疑
cunyin	寸阴	寸陰
cunyiqiutong	存异求同	存異求同
cunyou	存有	存有
cunzai	存在	存在
cunzaigan	存在感	存在感
cunzaizhuyi	存在主义	存在主義
cunzhai	村寨	村寨
cunzhang	村长	村長
cunzhe	存折	存摺
cunzhen	村镇	村鎮
cunzhengfang	村证房	村證房
cunzhuang	村庄	村莊
cunzi	村子	村子
cuo	剒|厝|嵯|挫|措|搓|撮|棤|瑳|痤|瘥|矬|磋|脞|莝|蓌|蹉|醝|锉|错|鹾	剉|剒|厝|嵯|挫|措|搓|撮|棤|瑳|痤|瘥|矬|磋|脞|莝|蓌|蹉|醝|銼|錯|鹺
cuoai	错爱	錯愛
cuoan	错案	錯案
cuobai	挫败	挫敗
cuoban	措办|搓板	措辦|搓板
cuobiezi	错别字	錯別字
cuobing	锉冰	剉冰
cuoceng	错层	錯層
cuoche	错车	錯車
cuochu	错处	錯處
cuochuang	挫疮|痤疮	挫瘡|痤瘡
cuoci	措词|措辞	措詞|措辭
cuociqiangying	措辞强硬	措辭強硬
cuoda	措大	措大
cuodao	锉刀	銼刀
cuodong	错动	錯動
cuodu	错读	錯讀
cuoe	错愕	錯愕
cuofeng	错峰	錯峰
cuoguai	错怪	錯怪
cuoguo	错过	錯過
cuohe	撮合	撮合
cuohuojixin	厝火积薪	厝火積薪
cuojiao	错角	錯角
cuojie	错解	錯解
cuoju	措举	措舉
cuojue	错觉	錯覺
cuojuejiehe	错觉结合	錯覺結合
cuokai	错开	錯開
cuolou	错漏	錯漏
cuoluan	错乱	錯亂
cuoluo	错落	錯落
cuoluobuqi	错落不齐	錯落不齊
cuoluoyouzhi	错落有致	錯落有致
cuomajiang	搓麻将	搓麻將
cuomo	磋磨	磋磨
cuopei	错配	錯配
cuopiao	错票	錯票
cuoqin	措勤	措勤
cuoqinxian	措勤县	措勤縣
cuorou	搓揉	搓揉
cuoshang	磋商	磋商
cuoshi	措施|锉尸|错失|错时|错视	剉屍|措施|錯失|錯時|錯視
cuoshou	措手	措手
cuoshoubuji	措手不及	措手不及
cuotuo	蹉跎	蹉跎
cuowei	错位	錯位
cuowu	错误	錯誤
cuoxi	搓洗	搓洗
cuoyi	措意	措意
cuoyiban	搓衣板	搓衣板
cuoyitubian	错义突变	錯義突變
cuoyong	错用	錯用
cuoyu	错语	錯語
cuoza	错杂	錯雜
cuozhe	挫折	挫折
cuozhegan	挫折感	挫折感
cuozhi	措置	措置
cuozhiyuru	措置裕如	措置裕如
cuozi	错字	錯字
cuozilibajiangjun	矬子里拔将军	矬子裡拔將軍
cuozong	错综	錯綜
cuozongfuza	错综复杂	錯綜複雜
cuqian	粗浅	粗淺
cuqing	促请	促請
